Achebe, Chinua;Things Fall Apart;"[""20th century literature"",""Christianity"",""masculinity"",""British colonialism"",""LANGUAGE & LITERARY STUDIES"",""CONTEMPORARY FICTION"",""literature"",""Race relations"",""Men"",""British"",""Fiction"",""African fiction"",""Nigerian fiction"",""colonization"",""historical fiction"",""Ficción"",""Hombres"",""Missionaries"",""Novela histórica"",""Readers (Adult)"",""Relaciones raciales"",""Social life and customs"",""Tribes"",""open_syllabus_project"",""Long Now Manual for Civilization"",""African literature"",""audiobooks"",""Igbo (African people)"",""Classics"",""Juvenile Fiction"",""Children: Young Adult (Gr. 10-12)"",""Skönlitteratur"",""Briten"",""Missionärer"",""Igbo (folk)"",""FICTION / Political"",""Kolonialismus"",""FICTION / Literary"",""Fiction (fictional works by one author)"",""Nigeria, fiction"",""Fiction, general"",""Romans"",""Hommes"",""Relations raciales"",""Britanniques"",""Historical fiction""]";214;/works/OL891793W;OL32595708M
Achebe, Chinua;Arrow of God;"[""Fiction"",""Igbo (African people)"",""Nigeria in fiction"",""Literature"",""Igbo (Pueblo africano)"",""Novela africana"",""Novela nigeriana"",""Novela"",""Fiction (fictional works by one author)"",""Nigeria, fiction""]";266;/works/OL891814W;OL21487706M
Acker, Kathy;Blood and Guts in High School;"[""American Experimental fiction"",""Fiction, general""]";;/works/OL2714402W;OL27418836M
Ackroyd, Peter;Hawksmoor;"[""Detectives"",""Murder"",""Police"",""Architects"",""Fiction"",""Investigation""]";;/works/OL47995W;OL13621671M
Ackroyd, Peter;The House of Doctor Dee;"[""Alchemists"",""Astrologers"",""English fiction"",""Fathers and sons"",""Fiction"",""Homes and haunts"",""Occultists""]";276;/works/OL47981W;OL14721022M
Ackroyd, Peter;The Lambs of London;"[""Fiction"",""Young men"",""Intellectual life"",""Antiquarian booksellers"",""London (england), fiction"",""Fiction, historical""]";;/works/OL47975W;OL22596456M
Adams, Douglas;Hitchhiker’s Guide to the Galaxy;"[""Hitchhiker's guide to the galaxy (Motion picture)""]";184;/works/OL8851506W;OL3436802M
Adams, Douglas;Dirk Gently’s Holistic Detective Agency;"[""abiogenesis"",""laudanum"",""Kubla Khan"",""The Rime of the Ancient Mariner"",""detective fiction"",""Mystery & Detective fiction"",""time travel"",""Modern & Contemporary Fiction"",""humour"",""Private investigators"",""Fiction"",""Science fiction"",""fantasy fiction"",""Detective and mystery fiction"",""Humorous fiction"",""Mystery fiction"",""fantasy"",""Dirk Gently (Fictitious character)"",""English Fantasy fiction"",""Fiction, mystery & detective, general"",""Fiction, crime"",""Gently, dirk (fictitious character), fiction"",""Private investigators, fiction"",""University of Cambridge""]";242;/works/OL2163714W;OL32947980M
Adams, Douglas;The Long Dark Teatime of the Soul;"[""Norse mythology"",""horoscopes"",""Fiction, fantasy, contemporary"",""Fiction, humorous"",""Fiction, science fiction, general"",""Gently, dirk (fictitious character), fiction"",""Private investigators, fiction"",""Dirk Gently (Fictitious character)"",""Private investigators"",""Fiction"",""Norse Gods"",""Physicians"",""New York Times reviewed"",""Science fiction""]";;/works/OL2163662W;OL10924601M
Adichie, Chimamanda Ngozi;Half of a Yellow Sun;"[""literary fiction"",""historical fiction"",""political fiction"",""war"",""military fiction"",""Fiction"",""History"",""Modern Literature"",""Civil War"",""Anisfield-Wolf Book Award winner"",""PEN/Open Book Award winner"",""Orange Broadband Prize winner"",""Women’s Prize for Fiction winner"",""Biafrakonflikt"",""Civil War (Nigeria : 1967-1970) fast (OCoLC)fst01352311"",""Social aspects"",""Nigeria, fiction"",""Fiction, historical"",""Fiction, political"",""Large type books"",""Fiction, war & military"",""New York Times reviewed""]";;/works/OL5731542W;OL32045027M
Adichie, Chimamanda Ngozi;Americanah;"[""Nigerians"",""Immigrants"",""Refugees"",""African-Americans"",""literary fiction"",""African-American fiction"",""cultural heritage"",""Fiction"",""blogging"",""romance"",""corruption"",""award:national_book_critics_circle_award=fiction"",""National Book Critics Circle Award Winner"",""Reading Level-Grade 7"",""Reading Level-Grade 9"",""Reading Level-Grade 8"",""Reading Level-Grade 11"",""Reading Level-Grade 10"",""Reading Level-Grade 12"",""1000blackgirlbooks"",""Fiction, historical"",""Nigeria, fiction"",""Large type books"",""FICTION / Literary"",""FICTION / African American / General"",""FICTION / Cultural Heritage"",""nyt:trade-fiction-paperback=2014-03-23"",""New York Times bestseller"",""New York Times reviewed""]";;/works/OL16805415W;OL26459141M
Adiga, Aravind;The White Tiger;"[""Children's stories""]";176;/works/OL2731135W;OL10643914M
Aesopus;Aesop’s Fables;"[""Fables"",""Animals"",""great_books_of_the_western_world"",""open_syllabus_project"",""Children's stories"",""Juvenile literature"",""Children: Babies Toddlers"",""Greek Fables"",""Translations into English"",""Adaptations"",""History and criticism""]";;/works/OL12129731W;OL12577546M
Ageyev, M.;Novel With Cocaine;null;204;/works/OL8333521W;OL7769673M
Agnon, Shmuel Yosef;In The Heart of the Seas;"[""Sperm whale"",""award:national_book_award=2000"",""National Book Award Winner"",""Whaleboats"",""Essex (Whaleship)"",""Nonfiction"",""Open Library Staff Picks"",""award:national_book_award=nonfiction"",""Essex (Ship)"",""Shipwrecks"",""History"",""Reading Level-Grade 11"",""Reading Level-Grade 12"",""Nantucket island (mass.), history"",""Whaling"",""Essex (whaleship)"",""Survival after airplane accidents, shipwrecks, etc."",""Whaling ships"",""Survival"",""nyt:expeditions-disasters-and-adventures=2015-04-12"",""New York Times bestseller""]";;/works/OL800722W;OL8528246M
Akutagawa, Ryunosuke ;Rashomon;"[""Addresses, essays, lectures"",""Rashomon. [Motion picture]"",""Rashōmon (Motion picture)""]";;/works/OL5264667W;OL7455745M
Alas, Leopoldo;The Regent's Wife;"[""Language readers"",""Literature"",""Literature & Fiction"",""Fantasy - Contemporary"",""Fiction"",""Spanish: Adult Fiction""]";;/works/OL41290W;OL22104896M
