Author;Book Title;"[""Incunabula"",""Bibliography"",""Union Catalogs"",""Book industries and trade"",""English literature"",""Early printed books"",""English imprints"",""Union lists"",""Rare books"",""Imprints"",""Bibliographies, catalogues, discographies"",""Publishing industry"",""c 1500 to c 1600"",""c 1600 to c 1700"",""Commerce"",""Business & Economics"",""Business/Economics"",""Reference"",""United Kingdom, Great Britain"",""Literary Collections / English, Irish, Scottish, Welsh"",""Union catalogs""]";609;/works/OL6680873W;OL20111643M
Achebe, Chinua;Things Fall Apart;"[""20th century literature"",""Christianity"",""masculinity"",""British colonialism"",""LANGUAGE & LITERARY STUDIES"",""CONTEMPORARY FICTION"",""literature"",""Race relations"",""Men"",""British"",""Fiction"",""African fiction"",""Nigerian fiction"",""colonization"",""historical fiction"",""Ficción"",""Hombres"",""Missionaries"",""Novela histórica"",""Readers (Adult)"",""Relaciones raciales"",""Social life and customs"",""Tribes"",""open_syllabus_project"",""Long Now Manual for Civilization"",""African literature"",""audiobooks"",""Igbo (African people)"",""Classics"",""Juvenile Fiction"",""Children: Young Adult (Gr. 10-12)"",""Skönlitteratur"",""Briten"",""Missionärer"",""Igbo (folk)"",""FICTION / Political"",""Kolonialismus"",""FICTION / Literary"",""Fiction (fictional works by one author)"",""Nigeria, fiction"",""Fiction, general"",""Romans"",""Hommes"",""Relations raciales"",""Britanniques"",""Fiction, historical, general""]";214;/works/OL891793W;OL34841147M
Achebe, Chinua;Arrow of God;"[""Fiction"",""Igbo (African people)"",""Nigeria in fiction"",""Literature"",""Igbo (Pueblo africano)"",""Novela africana"",""Novela nigeriana"",""Novela"",""Fiction (fictional works by one author)"",""Nigeria, fiction""]";266;/works/OL891814W;OL21487706M
Acker, Kathy;Blood and Guts in High School;"[""American Experimental fiction"",""Fiction, general"",""Fiction, erotica, general"",""Fathers and daughters, fiction"",""Young women, fiction""]";;/works/OL2714402W;OL27418836M
Ackroyd, Peter;Hawksmoor;"[""Detectives"",""Murder"",""Police"",""Architects"",""Fiction"",""Investigation"",""Fiction, mystery & detective, general"",""London (england), fiction"",""England, fiction""]";;/works/OL47995W;OL13621671M
Ackroyd, Peter;The House of Doctor Dee;"[""Alchemists"",""Astrologers"",""English fiction"",""Fathers and sons"",""Fiction"",""Homes and haunts"",""Occultists""]";276;/works/OL47981W;OL14721022M
Ackroyd, Peter;The Lambs of London;"[""Fiction"",""Young men"",""Intellectual life"",""Antiquarian booksellers"",""London (england), fiction"",""Fiction, historical"",""Fiction, historical, general""]";;/works/OL47975W;OL22596456M
Adams, Douglas;Hitchhiker’s Guide to the Galaxy;"[""English Humorous stories"",""English Science fiction"",""Fiction"",""Life on other planets"",""Interstellar travel"",""Interplanetary voyages"",""sofas"",""xenophobia"",""bird language"",""paradoxes"",""Infinite Improbability Drive"",""Heart of Gold"",""reverse engineering"",""The Ashes"",""Wikkit Gate"",""Fantasy"",""Science Fiction"",""space-time eddy"",""Anachronism"",""Prefect, ford (fictitious character), fiction"",""Dent, arthur (fictitious character), fiction"",""Fiction, science fiction, general"",""Fiction, humorous, general""]";468;/works/OL2163696W;OL3174293M
Adams, Douglas;Dirk Gently’s Holistic Detective Agency;"[""abiogenesis"",""laudanum"",""Kubla Khan"",""The Rime of the Ancient Mariner"",""detective fiction"",""Mystery & Detective fiction"",""time travel"",""Modern & Contemporary Fiction"",""humour"",""Private investigators"",""Fiction"",""Science fiction"",""fantasy fiction"",""Detective and mystery fiction"",""Humorous fiction"",""Mystery fiction"",""fantasy"",""Dirk Gently (Fictitious character)"",""English Fantasy fiction"",""Fiction, mystery & detective, general"",""Fiction, crime"",""Gently, dirk (fictitious character), fiction"",""Private investigators, fiction"",""University of Cambridge""]";;/works/OL2163714W;OL35139752M
Adams, Douglas;The Long Dark Teatime of the Soul;"[""Norse mythology"",""horoscopes"",""Fiction, fantasy, contemporary"",""Fiction, humorous"",""Fiction, science fiction, general"",""Gently, dirk (fictitious character), fiction"",""Private investigators, fiction"",""Dirk Gently (Fictitious character)"",""Private investigators"",""Fiction"",""Norse Gods"",""Physicians"",""New York Times reviewed"",""Science fiction"",""Fiction, humorous, general""]";;/works/OL2163662W;OL10924601M
