Ishiguro, Kazuo;Never Let Me Go;"[""Fiction"",""Organ donors"",""Cloning"",""Donation of organs, tissues"",""Women"",""Literature"",""New York Times bestseller"",""nyt:trade_fiction_paperback=2010-09-05"",""Human cloning"",""Science fiction"",""Fiction, psychological"",""Fiction, science fiction, general"",""England, fiction"",""Large type books"",""School children"",""Reminiscing"",""Friendship"",""English literature"",""Ishiguro, kazuo, 1954-""]";;/works/OL59038W;OL19548746M
James, Henry;The Portrait of a Lady;"[""Fiction"",""Americans"",""Inheritance and succession"",""Triangles (Interpersonal relations)"",""Isabel Archer (Fictitious character)"",""Fathers and daughters"",""Married women"",""Young women"",""Married people"",""Social life and customs"",""Domestic relations"",""Readers"",""Marriage"",""Classic Literature"",""Historical Fiction"",""Romance"",""Composition and exercises"",""Latin language"",""Grammar"",""Problems, exercises"",""Long Now Manual for Civilization"",""Archer, Isabel (Fictitious character) -- Fiction"",""Romance Norte Americano"",""Manners and customs"",""Film"",""Fathers and daughters, fiction"",""Italy, fiction"",""Man-woman relationships, fiction"",""Married people, fiction"",""Archer, isabel (fictitious character), fiction"",""American fiction (fictional works by one author)"",""Fiction, psychological"",""American literature"",""James, henry, 1843-1916""]";;/works/OL276370W;OL20983845M
James, Henry;What Maisie Knew;"[""Fiction"",""Girls"",""Remarried people"",""Children of divorced parents"",""Governesses"",""Classic Literature"",""Family life, fiction"",""Fiction, general"",""American fiction (fictional works by one author)"",""Large type books"",""Divorce""]";274;/works/OL276469W;OL18342900M
James, Henry;The Turn of the Screw;"[""Children"",""Children in fiction"",""England in fiction"",""English language"",""Fathers and daughters"",""Fiction"",""Ghost stories"",""Governesses"",""Governesses in fiction"",""Governesses in literature"",""Telegraphers"",""Textbooks for foreign speakers"",""Young women"",""Supernatural"",""Romance Norte Americano"",""Correspondence"",""Business Men's Art Club of New York"",""United States. Bureau of Labor Statistics"",""Statistics"",""Business Men's Art Club of San Francisco"",""Diseases"",""Business Men's Art Club of Chicago"",""Cost and standard of living"",""Air"",""United States"",""Pacific Coast Borax Company"",""Occupational mortality"",""Cost of Medical care"",""Purchasing power"",""Medical statistics"",""Pollution"",""Criticism and interpretation"",""Manners and customs"",""Social life and customs"",""Psychological fiction"",""Orphans"",""Americans"",""American literature"",""Man-woman relationships"",""Romance fiction"",""Domestic fiction"",""American fiction (fictional works by one author)"",""England, fiction"",""Fiction, psychological"",""Fiction, short stories (single author)"",""Large type books"",""American fiction"",""English fiction"",""New York Times reviewed"",""Literary criticism"",""Turn of the screw (James, Henry)""]";191;/works/OL276437W;OL22123323M
James, Henry;The Wings of the Dove;"[""Fiction"",""Americans in fiction"",""Americans"",""Triangles (Interpersonal relations)"",""Terminally ill"",""Young women in fiction"",""Young women"",""Terminally ill in fiction"",""Social life and customs"",""Classic Literature"",""Historical Fiction"",""Romance"",""Travel"",""Women"",""Triangles (Interpersonal relations) -- Fiction."",""England, fiction"",""London (england), fiction"",""Italy, fiction"",""American fiction (fictional works by one author)"",""James, henry, 1843-1916"",""Fiction, general"",""Young women, fiction"",""Venice (italy), fiction"",""Fiction, romance, general"",""FICTION / Romance / General"",""FICTION / Women"",""Wings of the dove (James, Henry)""]";;/works/OL276397W;OL21447686M
James, Henry;The Ambassadors;"[""Man-woman relationships"",""Fiction"",""Romance"",""Americans"",""Historical Fiction"",""Young men"",""Classic Literature"",""Ambassadors (James, Henry)"",""James, henry, 1843-1916"",""American fiction (fictional works by one author)"",""Paris (france), fiction"",""Man-woman relationships, fiction"",""Fiction, psychological"",""American fiction"",""LITERARY CRITICISM"",""American"",""General""]";;/works/OL276470W;OL13683359M
James, Henry;The Golden Bowl;"[""Fiction"",""Americans"",""Art"",""Fathers and daughters"",""Adultery"",""Collectors and collecting"",""American fiction (fictional works by one author)""]";;/works/OL276338W;OL13570916M
Jameson, Storm;A Day Off;null;;/works/OL3864101W;OL20250693M
Jansson, Tove;The Summer Book;"[""Fiction"",""Swedish fiction"",""Large type books"",""Fiction, family life"",""Grandparents, fiction"",""Sweden, fiction""]";159;/works/OL2196068W;OL4826480M
Jelinek, Elfriede;The Piano Teacher;"[""Fiction"",""Fiction, erotica, general""]";280;/works/OL15196311W;OL2034728M
Jie, Zhang;Leaden Wings;"[""Modern fiction""]";192;/works/OL8306752M;OL8306752M
Jiménez, Juan Ramón;Platero and I;null;128;/works/OL10342944W;OL24216817M
Jo, Jung-rae;The Taebaek Mountains;;;;
Johnson, B.S.;Albert Angelo;null;;/works/OL10447422W;OL13663162M
Johnson, B.S.;Trawl;"[""Fiction, psychological""]";205;/works/OL10447417W;OL22425354M
Johnson, B.S.;House Mother Normal;"[""Fiction, satire""]";204;/works/OL10447420W;OL15111068M
Johnson, Samuel;The History of Rasselas, Prince of Abissinia  ;;;;
Johnson, Uwe;Jahrestage;"[""Fiction, women"",""Fiction, historical, general"",""New york (n.y.), fiction""]";;/works/OL155602W;OL5732416M
Jones, David;In Parenthesis;"[""British Personal narratives"",""Fiction"",""Personal narratives"",""Personal narratives, British"",""World War, 1914-1918""]";;/works/OL10819946W;OL21482125M
Jong, Erica;Fear of Flying;"[""Fiction"",""Women"",""Self-realization"",""Adultery"",""Sexual life"",""Spanish language"",""Fiction, psychological"",""Wing, isadora (fictitious character), fiction"",""Fiction, erotica, general"",""Fiction, romance, erotica""]";358;/works/OL1901531W;OL32669223M
Joyce, James;A Portrait of the Artist as a Young Man;"[""Fiction"",""Artists"",""Young men"",""Facsimiles"",""Fiction in English"",""Manuscripts"",""English Manuscripts"",""Autobiographical fiction"",""Literature"",""Classic Literature"",""Coming of age"",""Psychological fiction"",""Stephen Dedalus"",""Stephen Dedalus (Fictitious character)"",""Authors"",""open_syllabus_project"",""Portrait of the artist as a young man (Joyce, James)"",""Portrait of the artist as a young man"",""Stephen Dedalus (Fictional character)"",""Bildungsromans"",""British and irish fiction (fictional works by one author)"",""Artists, fiction"",""Fiction, coming of age"",""Dublin (ireland), fiction"",""Dedalus, stephen (fictitious character), fiction"",""English literature"",""Fiction, general"",""Ireland, fiction"",""Fiction, romance, general"",""Fiction, biographical"",""Large type books"",""Social life and customs""]";;/works/OL86343W;OL32071885M
Joyce, James;Ulysses;"[""Married people"",""Male friendship"",""Fiction in English"",""Fiction"",""Historical Fiction"",""Psychological fiction"",""Alienation (Social psychology)"",""Textual Criticism"",""Molly Bloom (Fictitious character)"",""Bloom, Molly (Personaje literario)"",""Men"",""Facsimiles"",""Jewish men"",""Leopold Bloom (Fictitious character)"",""English Manuscripts"",""Classic Literature"",""Domestic fiction"",""Proofs (Printing)"",""Prohibited books"",""Bloom, Leopold (Personaje literario)"",""Open Library Staff Picks"",""Immoral Literature"",""open_syllabus_project"",""Translations into Irish"",""City and town life"",""Law and legislation"",""Manuscripts"",""Hombres"",""Artists"",""Ficción"",""Long Now Manual for Civilization"",""Stream of consciousness"",""British and irish fiction (fictional works by one author)"",""Bloom, leopold (fictitious character), fiction"",""Bloom, molly (fictitious character), fiction"",""Dublin (ireland), fiction"",""Fiction, psychological"",""Dedalus, stephen (fictitious character), fiction"",""Fiction, family life"",""Married people, fiction"",""Friendship, fiction"",""Joyce, james, 1882-1941"",""Photograph collections"",""Revolutions"",""Revolutionaries"",""Photography"",""Pictorial works"",""History"",""Artists, fiction"",""Fiction, general"",""English fiction"",""English literature"",""Ireland, fiction""]";792;/works/OL86344W;OL29689947M
Joyce, James;Finnegans Wake;"[""Facsimiles"",""Manuscripts"",""English Manuscripts"",""Notebooks, sketchbooks"",""Fiction"",""Older men"",""Dreams"",""Proofs (Printing)"",""Textual Criticism"",""Classic Literature"",""Family"",""open_syllabus_project"",""Long Now Manual for Civilization"",""Protestants"",""Hotelkeepers"",""Families"",""British and irish fiction (fictional works by one author)""]";;/works/OL86319W;OL17028838M
Junger, Ernst;Storm of Steel;null;319;/works/OL7967169W;OL8315939M
Junger, Ernst;The Glass Bees;;;;
Kadare, Ismail;Broken April;"[""Kanun"",""Fiction, general"",""New York Times reviewed""]";246;/works/OL963870W;OL3105065M
Kadare, Ismail;Spring Flowers, Spring Frost;"[""Fiction"",""Social life and customs""]";173;/works/OL963804W;OL4014781M
